FC,RM,AUC,AUC_PR,Omission
L,0.01,0.562873,0.519495,0.100098
Q,0.01,0.55632,0.507304,0.100098
H,0.01,0.709484,0.670713,0.100098
P,0.01,0.607855,0.56236,0.100098
T,0.01,0.759881,0.728698,0.100098
LQ,0.01,0.562873,0.519495,0.100098
LH,0.01,0.562873,0.519495,0.100098
LP,0.01,0.562873,0.519495,0.100098
LT,0.01,0.562873,0.519495,0.100098
QH,0.01,0.562873,0.519495,0.100098
QP,0.01,0.562873,0.519495,0.100098
QT,0.01,0.562873,0.519495,0.100098
HP,0.01,0.562873,0.519495,0.100098
HT,0.01,0.562873,0.519495,0.100098
PT,0.01,0.562873,0.519495,0.100098
LQH,0.01,0.562873,0.519495,0.100098
LQP,0.01,0.562873,0.519495,0.100098
LQT,0.01,0.562873,0.519495,0.100098
LHP,0.01,0.562873,0.519495,0.100098
LHT,0.01,0.562873,0.519495,0.100098
LPT,0.01,0.562873,0.519495,0.100098
QHP,0.01,0.562873,0.519495,0.100098
QHT,0.01,0.562873,0.519495,0.100098
QPT,0.01,0.562873,0.519495,0.100098
HPT,0.01,0.562873,0.519495,0.100098
LQHP,0.01,0.562873,0.519495,0.100098
LQHT,0.01,0.562873,0.519495,0.100098
LQPT,0.01,0.562873,0.519495,0.100098
LHPT,0.01,0.562873,0.519495,0.100098
QHPT,0.01,0.562873,0.519495,0.100098
LQHPT,0.01,0.562873,0.519495,0.100098
L,0.05,0.562908,0.519585,0.100098
Q,0.05,0.556474,0.507436,0.100098
H,0.05,0.676073,0.636452,0.100098
P,0.05,0.60007,0.555781,0.100098
T,0.05,0.751941,0.718127,0.100098
LQ,0.05,0.562908,0.519585,0.100098
LH,0.05,0.562908,0.519585,0.100098
LP,0.05,0.562908,0.519585,0.100098
LT,0.05,0.562908,0.519585,0.100098
QH,0.05,0.562908,0.519585,0.100098
QP,0.05,0.562908,0.519585,0.100098
QT,0.05,0.562908,0.519585,0.100098
HP,0.05,0.562908,0.519585,0.100098
HT,0.05,0.562908,0.519585,0.100098
PT,0.05,0.562908,0.519585,0.100098
LQH,0.05,0.562908,0.519585,0.100098
LQP,0.05,0.562908,0.519585,0.100098
LQT,0.05,0.562908,0.519585,0.100098
LHP,0.05,0.562908,0.519585,0.100098
LHT,0.05,0.562908,0.519585,0.100098
LPT,0.05,0.562908,0.519585,0.100098
QHP,0.05,0.562908,0.519585,0.100098
QHT,0.05,0.562908,0.519585,0.100098
QPT,0.05,0.562908,0.519585,0.100098
HPT,0.05,0.562908,0.519585,0.100098
LQHP,0.05,0.562908,0.519585,0.100098
LQHT,0.05,0.562908,0.519585,0.100098
LQPT,0.05,0.562908,0.519585,0.100098
LHPT,0.05,0.562908,0.519585,0.100098
QHPT,0.05,0.562908,0.519585,0.100098
LQHPT,0.05,0.562908,0.519585,0.100098
L,0.1,0.562871,0.51959,0.100098
Q,0.1,0.556736,0.507511,0.100098
H,0.1,0.661805,0.619473,0.100098
P,0.1,0.592723,0.551822,0.100098
T,0.1,0.737221,0.69901,0.100098
LQ,0.1,0.562871,0.51959,0.100098
LH,0.1,0.562871,0.51959,0.100098
LP,0.1,0.562871,0.51959,0.100098
LT,0.1,0.562871,0.51959,0.100098
QH,0.1,0.562871,0.51959,0.100098
QP,0.1,0.562871,0.51959,0.100098
QT,0.1,0.562871,0.51959,0.100098
HP,0.1,0.562871,0.51959,0.100098
HT,0.1,0.562871,0.51959,0.100098
PT,0.1,0.562871,0.51959,0.100098
LQH,0.1,0.562871,0.51959,0.100098
LQP,0.1,0.562871,0.51959,0.100098
LQT,0.1,0.562871,0.51959,0.100098
LHP,0.1,0.562871,0.51959,0.100098
LHT,0.1,0.562871,0.51959,0.100098
LPT,0.1,0.562871,0.51959,0.100098
QHP,0.1,0.562871,0.51959,0.100098
QHT,0.1,0.562871,0.51959,0.100098
QPT,0.1,0.562871,0.51959,0.100098
HPT,0.1,0.562871,0.51959,0.100098
LQHP,0.1,0.562871,0.51959,0.100098
LQHT,0.1,0.562871,0.51959,0.100098
LQPT,0.1,0.562871,0.51959,0.100098
LHPT,0.1,0.562871,0.51959,0.100098
QHPT,0.1,0.562871,0.51959,0.100098
LQHPT,0.1,0.562871,0.51959,0.100098
L,0.25,0.56286,0.5189,0.100098
Q,0.25,0.556791,0.507004,0.100098
H,0.25,0.64369,0.598591,0.100098
P,0.25,0.584404,0.543653,0.100098
T,0.25,0.688614,0.645453,0.100098
LQ,0.25,0.56286,0.5189,0.100098
LH,0.25,0.56286,0.5189,0.100098
LP,0.25,0.56286,0.5189,0.100098
LT,0.25,0.56286,0.5189,0.100098
QH,0.25,0.56286,0.5189,0.100098
QP,0.25,0.56286,0.5189,0.100098
QT,0.25,0.56286,0.5189,0.100098
HP,0.25,0.56286,0.5189,0.100098
HT,0.25,0.56286,0.5189,0.100098
PT,0.25,0.56286,0.5189,0.100098
LQH,0.25,0.56286,0.5189,0.100098
LQP,0.25,0.56286,0.5189,0.100098
LQT,0.25,0.56286,0.5189,0.100098
LHP,0.25,0.56286,0.5189,0.100098
LHT,0.25,0.56286,0.5189,0.100098
LPT,0.25,0.56286,0.5189,0.100098
QHP,0.25,0.56286,0.5189,0.100098
QHT,0.25,0.56286,0.5189,0.100098
QPT,0.25,0.56286,0.5189,0.100098
HPT,0.25,0.56286,0.5189,0.100098
LQHP,0.25,0.56286,0.5189,0.100098
LQHT,0.25,0.56286,0.5189,0.100098
LQPT,0.25,0.56286,0.5189,0.100098
LHPT,0.25,0.56286,0.5189,0.100098
QHPT,0.25,0.56286,0.5189,0.100098
LQHPT,0.25,0.56286,0.5189,0.100098
L,0.5,0.562682,0.518227,0.100098
Q,0.5,0.556635,0.506388,0.100098
H,0.5,0.628085,0.584468,0.100098
P,0.5,0.577098,0.534758,0.100098
T,0.5,0.640522,0.599655,0.100098
LQ,0.5,0.562682,0.518227,0.100098
LH,0.5,0.562682,0.518227,0.100098
LP,0.5,0.562682,0.518227,0.100098
LT,0.5,0.562682,0.518227,0.100098
QH,0.5,0.562682,0.518227,0.100098
QP,0.5,0.562682,0.518227,0.100098
QT,0.5,0.562682,0.518227,0.100098
HP,0.5,0.562682,0.518227,0.100098
HT,0.5,0.562682,0.518227,0.100098
PT,0.5,0.562682,0.518227,0.100098
LQH,0.5,0.562682,0.518227,0.100098
LQP,0.5,0.562682,0.518227,0.100098
LQT,0.5,0.562682,0.518227,0.100098
LHP,0.5,0.562682,0.518227,0.100098
LHT,0.5,0.562682,0.518227,0.100098
LPT,0.5,0.562682,0.518227,0.100098
QHP,0.5,0.562682,0.518227,0.100098
QHT,0.5,0.562682,0.518227,0.100098
QPT,0.5,0.562682,0.518227,0.100098
HPT,0.5,0.562682,0.518227,0.100098
LQHP,0.5,0.562682,0.518227,0.100098
LQHT,0.5,0.562682,0.518227,0.100098
LQPT,0.5,0.562682,0.518227,0.100098
LHPT,0.5,0.562682,0.518227,0.100098
QHPT,0.5,0.562682,0.518227,0.100098
LQHPT,0.5,0.562682,0.518227,0.100098
L,0.75,0.562321,0.517216,0.100098
Q,0.75,0.556476,0.505921,0.100098
H,0.75,0.62041,0.577034,0.100098
P,0.75,0.572644,0.527082,0.100098
T,0.75,0.621283,0.572678,0.100098
LQ,0.75,0.562321,0.517216,0.100098
LH,0.75,0.562321,0.517216,0.100098
LP,0.75,0.562321,0.517216,0.100098
LT,0.75,0.562321,0.517216,0.100098
QH,0.75,0.562321,0.517216,0.100098
QP,0.75,0.562321,0.517216,0.100098
QT,0.75,0.562321,0.517216,0.100098
HP,0.75,0.562321,0.517216,0.100098
HT,0.75,0.562321,0.517216,0.100098
PT,0.75,0.562321,0.517216,0.100098
LQH,0.75,0.562321,0.517216,0.100098
LQP,0.75,0.562321,0.517216,0.100098
LQT,0.75,0.562321,0.517216,0.100098
LHP,0.75,0.562321,0.517216,0.100098
LHT,0.75,0.562321,0.517216,0.100098
LPT,0.75,0.562321,0.517216,0.100098
QHP,0.75,0.562321,0.517216,0.100098
QHT,0.75,0.562321,0.517216,0.100098
QPT,0.75,0.562321,0.517216,0.100098
HPT,0.75,0.562321,0.517216,0.100098
LQHP,0.75,0.562321,0.517216,0.100098
LQHT,0.75,0.562321,0.517216,0.100098
LQPT,0.75,0.562321,0.517216,0.100098
LHPT,0.75,0.562321,0.517216,0.100098
QHPT,0.75,0.562321,0.517216,0.100098
LQHPT,0.75,0.562321,0.517216,0.100098
L,1,0.561899,0.516714,0.100098
Q,1,0.555772,0.505161,0.100098
H,1,0.612894,0.571196,0.100098
P,1,0.568682,0.52422,0.100098
T,1,0.60708,0.555545,0.100098
LQ,1,0.561899,0.516714,0.100098
LH,1,0.561899,0.516714,0.100098
LP,1,0.561899,0.516714,0.100098
LT,1,0.561899,0.516714,0.100098
QH,1,0.561899,0.516714,0.100098
QP,1,0.561899,0.516714,0.100098
QT,1,0.561899,0.516714,0.100098
HP,1,0.561899,0.516714,0.100098
HT,1,0.561899,0.516714,0.100098
PT,1,0.561899,0.516714,0.100098
LQH,1,0.561899,0.516714,0.100098
LQP,1,0.561899,0.516714,0.100098
LQT,1,0.561899,0.516714,0.100098
LHP,1,0.561899,0.516714,0.100098
LHT,1,0.561899,0.516714,0.100098
LPT,1,0.561899,0.516714,0.100098
QHP,1,0.561899,0.516714,0.100098
QHT,1,0.561899,0.516714,0.100098
QPT,1,0.561899,0.516714,0.100098
HPT,1,0.561899,0.516714,0.100098
LQHP,1,0.561899,0.516714,0.100098
LQHT,1,0.561899,0.516714,0.100098
LQPT,1,0.561899,0.516714,0.100098
LHPT,1,0.561899,0.516714,0.100098
QHPT,1,0.561899,0.516714,0.100098
LQHPT,1,0.561899,0.516714,0.100098
L,1.5,0.561526,0.515783,0.100098
Q,1.5,0.55472,0.503786,0.100098
H,1.5,0.604722,0.565493,0.100098
P,1.5,0.565285,0.521351,0.100098
T,1.5,0.589012,0.540362,0.083984
LQ,1.5,0.561526,0.515783,0.100098
LH,1.5,0.561526,0.515783,0.100098
LP,1.5,0.561526,0.515783,0.100098
LT,1.5,0.561526,0.515783,0.100098
QH,1.5,0.561526,0.515783,0.100098
QP,1.5,0.561526,0.515783,0.100098
QT,1.5,0.561526,0.515783,0.100098
HP,1.5,0.561526,0.515783,0.100098
HT,1.5,0.561526,0.515783,0.100098
PT,1.5,0.561526,0.515783,0.100098
LQH,1.5,0.561526,0.515783,0.100098
LQP,1.5,0.561526,0.515783,0.100098
LQT,1.5,0.561526,0.515783,0.100098
LHP,1.5,0.561526,0.515783,0.100098
LHT,1.5,0.561526,0.515783,0.100098
LPT,1.5,0.561526,0.515783,0.100098
QHP,1.5,0.561526,0.515783,0.100098
QHT,1.5,0.561526,0.515783,0.100098
QPT,1.5,0.561526,0.515783,0.100098
HPT,1.5,0.561526,0.515783,0.100098
LQHP,1.5,0.561526,0.515783,0.100098
LQHT,1.5,0.561526,0.515783,0.100098
LQPT,1.5,0.561526,0.515783,0.100098
LHPT,1.5,0.561526,0.515783,0.100098
QHPT,1.5,0.561526,0.515783,0.100098
LQHPT,1.5,0.561526,0.515783,0.100098
L,2,0.560818,0.514116,0.100098
Q,2,0.553644,0.502304,0.100098
H,2,0.602409,0.563183,0.100098
P,2,0.5634,0.517207,0.100098
T,2,0.583139,0.534308,0.05957
LQ,2,0.560818,0.514116,0.100098
LH,2,0.560818,0.514116,0.100098
LP,2,0.560818,0.514116,0.100098
LT,2,0.560818,0.514116,0.100098
QH,2,0.560818,0.514116,0.100098
QP,2,0.560818,0.514116,0.100098
QT,2,0.560818,0.514116,0.100098
HP,2,0.560818,0.514116,0.100098
HT,2,0.560818,0.514116,0.100098
PT,2,0.560818,0.514116,0.100098
LQH,2,0.560818,0.514116,0.100098
LQP,2,0.560818,0.514116,0.100098
LQT,2,0.560818,0.514116,0.100098
LHP,2,0.560818,0.514116,0.100098
LHT,2,0.560818,0.514116,0.100098
LPT,2,0.560818,0.514116,0.100098
QHP,2,0.560818,0.514116,0.100098
QHT,2,0.560818,0.514116,0.100098
QPT,2,0.560818,0.514116,0.100098
HPT,2,0.560818,0.514116,0.100098
LQHP,2,0.560818,0.514116,0.100098
LQHT,2,0.560818,0.514116,0.100098
LQPT,2,0.560818,0.514116,0.100098
LHPT,2,0.560818,0.514116,0.100098
QHPT,2,0.560818,0.514116,0.100098
LQHPT,2,0.560818,0.514116,0.100098
L,2.5,0.559614,0.511359,0.100098
Q,2.5,0.551574,0.500464,0.100098
H,2.5,0.598754,0.561657,0.100098
P,2.5,0.562201,0.513233,0.100098
T,2.5,0.57786,0.524957,0.05957
LQ,2.5,0.559614,0.511359,0.100098
LH,2.5,0.559614,0.511359,0.100098
LP,2.5,0.559614,0.511359,0.100098
LT,2.5,0.559614,0.511359,0.100098
QH,2.5,0.559614,0.511359,0.100098
QP,2.5,0.559614,0.511359,0.100098
QT,2.5,0.559614,0.511359,0.100098
HP,2.5,0.559614,0.511359,0.100098
HT,2.5,0.559614,0.511359,0.100098
PT,2.5,0.559614,0.511359,0.100098
LQH,2.5,0.559614,0.511359,0.100098
LQP,2.5,0.559614,0.511359,0.100098
LQT,2.5,0.559614,0.511359,0.100098
LHP,2.5,0.559614,0.511359,0.100098
LHT,2.5,0.559614,0.511359,0.100098
LPT,2.5,0.559614,0.511359,0.100098
QHP,2.5,0.559614,0.511359,0.100098
QHT,2.5,0.559614,0.511359,0.100098
QPT,2.5,0.559614,0.511359,0.100098
HPT,2.5,0.559614,0.511359,0.100098
LQHP,2.5,0.559614,0.511359,0.100098
LQHT,2.5,0.559614,0.511359,0.100098
LQPT,2.5,0.559614,0.511359,0.100098
LHPT,2.5,0.559614,0.511359,0.100098
QHPT,2.5,0.559614,0.511359,0.100098
LQHPT,2.5,0.559614,0.511359,0.100098
L,3,0.559134,0.51,0.100098
Q,3,0.550225,0.499371,0.100098
H,3,0.5955,0.560313,0.100098
P,3,0.561581,0.510648,0.100098
T,3,0.573204,0.521848,0
LQ,3,0.559134,0.51,0.100098
LH,3,0.559134,0.51,0.100098
LP,3,0.559134,0.51,0.100098
LT,3,0.559134,0.51,0.100098
QH,3,0.559134,0.51,0.100098
QP,3,0.559134,0.51,0.100098
QT,3,0.559134,0.51,0.100098
HP,3,0.559134,0.51,0.100098
HT,3,0.559134,0.51,0.100098
PT,3,0.559134,0.51,0.100098
LQH,3,0.559134,0.51,0.100098
LQP,3,0.559134,0.51,0.100098
LQT,3,0.559134,0.51,0.100098
LHP,3,0.559134,0.51,0.100098
LHT,3,0.559134,0.51,0.100098
LPT,3,0.559134,0.51,0.100098
QHP,3,0.559134,0.51,0.100098
QHT,3,0.559134,0.51,0.100098
QPT,3,0.559134,0.51,0.100098
HPT,3,0.559134,0.51,0.100098
LQHP,3,0.559134,0.51,0.100098
LQHT,3,0.559134,0.51,0.100098
LQPT,3,0.559134,0.51,0.100098
LHPT,3,0.559134,0.51,0.100098
QHPT,3,0.559134,0.51,0.100098
LQHPT,3,0.559134,0.51,0.100098
L,3.5,0.55813,0.50785,0.100098
Q,3.5,0.549725,0.498755,0.100098
H,3.5,0.592564,0.558548,0.100098
P,3.5,0.561017,0.507788,0.100098
T,3.5,0.573204,0.521848,0
LQ,3.5,0.55813,0.50785,0.100098
LH,3.5,0.55813,0.50785,0.100098
LP,3.5,0.55813,0.50785,0.100098
LT,3.5,0.55813,0.50785,0.100098
QH,3.5,0.55813,0.50785,0.100098
QP,3.5,0.55813,0.50785,0.100098
QT,3.5,0.55813,0.50785,0.100098
HP,3.5,0.55813,0.50785,0.100098
HT,3.5,0.55813,0.50785,0.100098
PT,3.5,0.55813,0.50785,0.100098
LQH,3.5,0.55813,0.50785,0.100098
LQP,3.5,0.55813,0.50785,0.100098
LQT,3.5,0.55813,0.50785,0.100098
LHP,3.5,0.55813,0.50785,0.100098
LHT,3.5,0.55813,0.50785,0.100098
LPT,3.5,0.55813,0.50785,0.100098
QHP,3.5,0.55813,0.50785,0.100098
QHT,3.5,0.55813,0.50785,0.100098
QPT,3.5,0.55813,0.50785,0.100098
HPT,3.5,0.55813,0.50785,0.100098
LQHP,3.5,0.55813,0.50785,0.100098
LQHT,3.5,0.55813,0.50785,0.100098
LQPT,3.5,0.55813,0.50785,0.100098
LHPT,3.5,0.55813,0.50785,0.100098
QHPT,3.5,0.55813,0.50785,0.100098
LQHPT,3.5,0.55813,0.50785,0.100098
L,4,0.556099,0.504526,0.100098
Q,4,0.548808,0.498134,0.100098
H,4,0.590401,0.557686,0.100098
P,4,0.560618,0.506276,0.100098
T,4,0.550772,0.504828,0
LQ,4,0.556099,0.504526,0.100098
LH,4,0.556099,0.504526,0.100098
LP,4,0.556099,0.504526,0.100098
LT,4,0.556099,0.504526,0.100098
QH,4,0.556099,0.504526,0.100098
QP,4,0.556099,0.504526,0.100098
QT,4,0.556099,0.504526,0.100098
HP,4,0.556099,0.504526,0.100098
HT,4,0.556099,0.504526,0.100098
PT,4,0.556099,0.504526,0.100098
LQH,4,0.556099,0.504526,0.100098
LQP,4,0.556099,0.504526,0.100098
LQT,4,0.556099,0.504526,0.100098
LHP,4,0.556099,0.504526,0.100098
LHT,4,0.556099,0.504526,0.100098
LPT,4,0.556099,0.504526,0.100098
QHP,4,0.556099,0.504526,0.100098
QHT,4,0.556099,0.504526,0.100098
QPT,4,0.556099,0.504526,0.100098
HPT,4,0.556099,0.504526,0.100098
LQHP,4,0.556099,0.504526,0.100098
LQHT,4,0.556099,0.504526,0.100098
LQPT,4,0.556099,0.504526,0.100098
LHPT,4,0.556099,0.504526,0.100098
QHPT,4,0.556099,0.504526,0.100098
LQHPT,4,0.556099,0.504526,0.100098
L,4.5,0.553499,0.501416,0.100098
Q,4.5,0.546699,0.496685,0.100098
H,4.5,0.58543,0.555776,0
P,4.5,0.55999,0.50513,0.100098
T,4.5,0.550772,0.504828,0
LQ,4.5,0.553499,0.501416,0.100098
LH,4.5,0.553499,0.501416,0.100098
LP,4.5,0.553499,0.501416,0.100098
LT,4.5,0.553499,0.501416,0.100098
QH,4.5,0.553499,0.501416,0.100098
QP,4.5,0.553499,0.501416,0.100098
QT,4.5,0.553499,0.501416,0.100098
HP,4.5,0.553499,0.501416,0.100098
HT,4.5,0.553499,0.501416,0.100098
PT,4.5,0.553499,0.501416,0.100098
LQH,4.5,0.553499,0.501416,0.100098
LQP,4.5,0.553499,0.501416,0.100098
LQT,4.5,0.553499,0.501416,0.100098
LHP,4.5,0.553499,0.501416,0.100098
LHT,4.5,0.553499,0.501416,0.100098
LPT,4.5,0.553499,0.501416,0.100098
QHP,4.5,0.553499,0.501416,0.100098
QHT,4.5,0.553499,0.501416,0.100098
QPT,4.5,0.553499,0.501416,0.100098
HPT,4.5,0.553499,0.501416,0.100098
LQHP,4.5,0.553499,0.501416,0.100098
LQHT,4.5,0.553499,0.501416,0.100098
LQPT,4.5,0.553499,0.501416,0.100098
LHPT,4.5,0.553499,0.501416,0.100098
QHPT,4.5,0.553499,0.501416,0.100098
LQHPT,4.5,0.553499,0.501416,0.100098
L,5,0.552555,0.500572,0.100098
Q,5,0.54421,0.495176,0.100098
H,5,0.585418,0.55576,0
P,5,0.558852,0.504182,0.100098
T,5,0.550772,0.504828,0
LQ,5,0.552555,0.500572,0.100098
LH,5,0.552555,0.500572,0.100098
LP,5,0.552555,0.500572,0.100098
LT,5,0.552555,0.500572,0.100098
QH,5,0.552555,0.500572,0.100098
QP,5,0.552555,0.500572,0.100098
QT,5,0.552555,0.500572,0.100098
HP,5,0.552555,0.500572,0.100098
HT,5,0.552555,0.500572,0.100098
PT,5,0.552555,0.500572,0.100098
LQH,5,0.552555,0.500572,0.100098
LQP,5,0.552555,0.500572,0.100098
LQT,5,0.552555,0.500572,0.100098
LHP,5,0.552555,0.500572,0.100098
LHT,5,0.552555,0.500572,0.100098
LPT,5,0.552555,0.500572,0.100098
QHP,5,0.552555,0.500572,0.100098
QHT,5,0.552555,0.500572,0.100098
QPT,5,0.552555,0.500572,0.100098
HPT,5,0.552555,0.500572,0.100098
LQHP,5,0.552555,0.500572,0.100098
LQHT,5,0.552555,0.500572,0.100098
LQPT,5,0.552555,0.500572,0.100098
LHPT,5,0.552555,0.500572,0.100098
QHPT,5,0.552555,0.500572,0.100098
LQHPT,5,0.552555,0.500572,0.100098
L,7.5,0.539615,0.491586,0.100098
Q,7.5,0.526422,0.482922,0.100098
H,7.5,0.585313,0.555797,0
P,7.5,0.54693,0.495056,0.100098
T,7.5,0.5,0.458781,0
LQ,7.5,0.539615,0.491586,0.100098
LH,7.5,0.539615,0.491586,0.100098
LP,7.5,0.539615,0.491586,0.100098
LT,7.5,0.539615,0.491586,0.100098
QH,7.5,0.539615,0.491586,0.100098
QP,7.5,0.539615,0.491586,0.100098
QT,7.5,0.539615,0.491586,0.100098
HP,7.5,0.539615,0.491586,0.100098
HT,7.5,0.539615,0.491586,0.100098
PT,7.5,0.539615,0.491586,0.100098
LQH,7.5,0.539615,0.491586,0.100098
LQP,7.5,0.539615,0.491586,0.100098
LQT,7.5,0.539615,0.491586,0.100098
LHP,7.5,0.539615,0.491586,0.100098
LHT,7.5,0.539615,0.491586,0.100098
LPT,7.5,0.539615,0.491586,0.100098
QHP,7.5,0.539615,0.491586,0.100098
QHT,7.5,0.539615,0.491586,0.100098
QPT,7.5,0.539615,0.491586,0.100098
HPT,7.5,0.539615,0.491586,0.100098
LQHP,7.5,0.539615,0.491586,0.100098
LQHT,7.5,0.539615,0.491586,0.100098
LQPT,7.5,0.539615,0.491586,0.100098
LHPT,7.5,0.539615,0.491586,0.100098
QHPT,7.5,0.539615,0.491586,0.100098
LQHPT,7.5,0.539615,0.491586,0.100098
L,10,0.5,0.458781,0
Q,10,0.5,0.458781,0
H,10,0.584748,0.555611,0
P,10,0.529531,0.484182,0.100098
T,10,0.5,0.458781,0
LQ,10,0.5,0.458781,0
LH,10,0.5,0.458781,0
LP,10,0.5,0.458781,0
LT,10,0.5,0.458781,0
QH,10,0.5,0.458781,0
QP,10,0.5,0.458781,0
QT,10,0.5,0.458781,0
HP,10,0.5,0.458781,0
HT,10,0.5,0.458781,0
PT,10,0.5,0.458781,0
LQH,10,0.5,0.458781,0
LQP,10,0.5,0.458781,0
LQT,10,0.5,0.458781,0
LHP,10,0.5,0.458781,0
LHT,10,0.5,0.458781,0
LPT,10,0.5,0.458781,0
QHP,10,0.5,0.458781,0
QHT,10,0.5,0.458781,0
QPT,10,0.5,0.458781,0
HPT,10,0.5,0.458781,0
LQHP,10,0.5,0.458781,0
LQHT,10,0.5,0.458781,0
LQPT,10,0.5,0.458781,0
LHPT,10,0.5,0.458781,0
QHPT,10,0.5,0.458781,0
LQHPT,10,0.5,0.458781,0
